DateTime,000661.SZ,300832.SZ,300702.SZ,300639.SZ,300630.SZ,300558.SZ,300529.SZ,300497.SZ,300482.SZ,300347.SZ,300122.SZ,300009.SZ,002821.SZ,688399.SH,603707.SH,603658.SH,000808.SH
2020/4/30,297.492945,NaN,77.071782,30.566909,46.13814,94.229742,58.106948,16.791614,79.062998,76.735361,78.909172,11.120956,188.330512,119.57382,44.278493,133.845012,11748.3354
2020/5/6,305.391076,NaN,81.432645,31.23292,46.658739,101.666305,60.233322,17.154337,80.209561,77.841546,80.593817,11.220182,187.482311,129.295834,43.176124,134.610693,11988.0915
2020/5/7,304.941752,NaN,83.772378,31.073873,46.990622,101.915854,60.875936,17.14183,81.974271,77.482784,79.945877,12.342201,186.115211,130.308751,44.385668,134.481422,12029.611
2020/5/8,305.341152,NaN,83.63299,31.739883,47.699939,101.177189,61.30957,17.435761,85.643272,77.532612,81.132106,13.044416,187.562142,129.295834,46.184673,135.744299,12104.898
2020/5/11,304.542352,NaN,81.601903,30.745837,48.103403,98.931247,59.19887,17.260653,82.871581,76.436392,79.746511,13.319196,182.083763,148.064584,44.783746,130.434251,11975.8426
2020/5/12,313.029598,45.2,83.075436,31.809466,51.337628,102.474844,60.849814,17.492046,83.350146,78.529175,81.411219,13.426055,187.552163,153.973265,47.516703,131.518137,12152.2388
2020/5/13,320.019094,49.72,88.6211,32.733929,52.795307,104.770696,62.929167,18.079909,85.104886,80.851167,82.228621,13.952717,198.898096,182.622918,47.822916,135.247103,12335.2366
2020/5/14,321.017594,54.69,79.759986,32.346251,53.159727,104.002084,62.694064,18.104924,83.399997,81.698246,81.660427,14.097739,200.764138,170.914793,47.271732,135.744299,12239.1259
2020/5/15,320.268719,60.16,80.795442,32.624584,50.973209,101.217116,60.865487,18.230001,85.99,80.970755,81.391283,14.807588,197.281525,175.760904,47.761674,136.977343,12149.1135
2020/5/18,330.503339,66.18,79.282083,33.797558,50.758461,103.562878,63.425495,17.87,90.5,83.561819,83.205516,15.41821,205.354401,194.241668,48.68797,139.811357,12326.9113
2020/5/19,331.951164,72.8,80.038762,33.727975,50.543714,105.140028,63.529985,17.49,90.33,83.890685,85.229083,15.357148,205.683703,194.390626,48.994184,141.004626,12427.2825
2020/5/20,324.612192,80.08,77.171345,33.389999,49.131588,101,60.9,16.79,88.72,82.575221,81.261694,15.547967,201.542487,172.29514,47.968368,139.522984,12245.6786
2020/5/21,330.408482,88.09,75.767506,33.11,49.235707,102.44,61.3,16.81,88.6,81.189999,81.540807,15.09,202.410645,178.650696,47.463115,142.79453,12354.408
2020/5/22,324.662117,96.9,74.264103,31.85,48.083881,99.3,59.57,16.31,87.12,79.4,78.729743,14.72,200.125493,163.00014,46.865999,142.496213,12027.4693
2020/5/25,325.510842,106.59,74.821657,31.54,49.782337,103.3,60.18,16.25,87.4,79.98,81.331473,14.75,202.46054,165.641668,47.233455,146.871532,12205.1155
2020/5/26,335.04152,117.25,75.857113,32.25,51.109866,104.2,62.56,16.46,90.34,82,84.501396,16.23,213.257637,169.24646,47.156902,148.999529,12472.9787
2020/5/27,326.748981,128.98,72.531706,32.5,48.012298,100.87,59.95,15.99,84.41,81.58,81.550776,15.14,210.543394,176.714237,45.556935,143.739201,12222.6283
2020/5/28,324.477395,141.88,73.377992,31.34,47.895163,100.62,58.97,17.59,84.7,81.73,80.713437,14.75,209.974601,172.245487,46.238261,141.720588,12082.5942
2020/5/29,332.500338,156.07,75.070564,34.47,47.699939,105.11,63,18,88.1,84.85,83.53447,14.81,217.089509,180.259446,47.861193,145.181068,12325.9084
2020/6/1,334.956647,163.2,78.256583,36.96,48.793198,105.1,64.24,18.42,86.5,84.88,84.152505,15.33,217.538556,184.211807,47.172212,153.136195,12534.7461
2020/6/2,330.503339,155.78,79.172563,36.82,48.207523,102.41,61.28,18.55,83.42,83,82.457892,14.78,210.164199,182.523612,46.820067,145.379946,12372.0755
2020/6/3,329.110432,149,79.142695,36.77,48.168478,107.28,61.14,18.69,83,82.3,82.039223,15.09,217.538556,180.209793,46.934897,150.749657,12465.7919
2020/6/4,332.001089,150.3,83.682771,37.9,49.209677,106.7,60.58,18.59,84.16,83.58,82.916435,14.91,219.524344,173.317987,46.850688,151.147413,12560.4749
2020/6/5,339.684542,144.21,88.571318,38.27,50.205324,112.7,62.42,19.64,85.32,84.72,86.684457,14.73,221.530089,169.415279,46.697581,152.141804,12653.0328
2020/6/8,332.729993,142.95,90.48293,37.87,47.283459,111.98,60.33,20.01,82.33,82.26,84.900129,14.46,216.470821,169.742987,46.238261,152.340682,12520.3364
2020/6/9,334.8,144.43,92.673317,40.7,47.953731,112.14,62.17,20.25,84.4,82.7,88.847581,14.57,219.444513,165.939584,46.513853,155.363631,12755.3183
2020/6/10,354.98,149.49,94.584929,42.01,49.912487,113.7,62.98,21.78,85.56,84.1,89.814508,14.76,221.52011,178.332918,47.723397,159.550016,12968.1799
2020/6/11,356.52,145.8,97.970073,40.56,50.094697,112.07,63.68,21.2,87.71,83.9,88.119894,14.21,218.01754,176.555348,47.769329,160.82,12878.7077
2020/6/12,351.94,160.38,100.060898,42,50.107712,115.1,64.76,20.91,89.18,85.79,88.717993,14.43,221.190809,186.94271,47.922436,161.44,13038.4297
2020/6/15,354.18,157,98.447976,44.4,47.517729,116.51,63.15,21.1,94.19,84.21,90.013874,15.01,216.869974,221.868474,47.080348,165.92,13173.1598
2020/6/16,362.61,167.01,105.536868,42.98,46.1902,118.88,67.37,20.83,95.48,85.4,91.588868,15.1,220.033264,222.643057,48.841077,166.54,13439.7048
2020/6/17,375.9,166.56,108.931969,44.6,46.704292,121.36,67.68,20.96,95.25,85.5,94.888379,16.61,218.556397,229.197224,47.34063,169.2,13744.4897
2020/6/18,376.1,157.68,98.447976,45.01,45.780228,114.25,65.03,19,92.75,84.1,92.505952,16.44,215.243424,220.637085,45.702387,165.54,13467.548
2020/6/19,388.2,160.84,105.278004,44.85,46.313842,119.91,65,18.8,93.75,90.1,95.586161,16.48,228.225886,214.500001,47.103314,171.47,13821.1983
2020/6/22,399.98,164.57,104.043422,48.01,45.61754,119.34,64.3,18.78,94.5,89.88,97.878874,16.6,225.521622,220.98,44.508154,169.96,13852.4138
2020/6/23,423.88,167.01,113.939992,47.8,46.723814,131.27,65.67,19.51,95.81,94.02,102.653696,16.46,235.690053,224.82,46.085154,172.35,14115.9754
2020/6/24,417.6,164.33,106.96,48.88,46.39844,135.71,65.28,19.02,96.52,97.62,99.583455,16.63,231,232.41,45.396173,167.15,13982.3635
2020/6/29,424,171.17,105,49.6,47.250921,136.29,64.74,19.15,101.91,102,98.367321,16.51,237.61,261.08,46.689926,168.4,14102.1117
2020/6/30,435.3,172.19,106.32,51.93,48.122926,139.98,69.5,19.57,104,101.88,99.832663,17.9,243,278,49.430538,162.44,14332.3934
2020/7/1,427.88,163.45,103.43,51.82,46.886502,137.02,67.76,19.97,101.29,98.01,97.141218,17.53,237.4,270.5,48.611417,154.4,14115.7406
2020/7/2,410.09,161.7,104,49.59,46.879994,134.9,65.8,20.18,98.04,96.1,95.516383,16.85,232.87,275,47.861193,151.55,14023.9688
2020/7/3,409.95,161.75,105.13,50.14,48.88,139.62,66.55,19.7,102.4,96.56,97.061472,16.65,235.67,290,47.156902,153.59,14231.9361
2020/7/6,407.21,160.1,104.83,48.47,48.66,135.89,67,19.99,99.3,96.06,95.207366,16.73,224.79,295.49,45.863149,154.72,14269.576
2020/7/7,447.93,166.96,108.79,51.7,48.95,143.42,68.17,20.26,98.95,97.35,99.334247,17.1,225.5,319,45.733008,153.76,14582.7538
2020/7/8,443.5,162.89,105.99,51,48.9,144.69,67.85,20.12,97.56,98.69,99.095008,16.99,222.96,352.81,45.419139,151.81,14626.2753
2020/7/9,454.58,179.18,113,54.82,50.45,149.5,72.17,20.93,99.45,104.4,103.949577,18.24,228.2,353.91,46.475576,155,15128.2194
2020/7/10,455,183.49,116.41,56.19,50.7,156.2,74.09,20.91,103.36,106.31,111.43578,19.48,233.64,414.5,45.932047,160,15345.4227
2020/7/13,473.31,195.98,116.32,59.83,53.1,156.3,75.6,21.83,105.4,113.4,122.580355,19.96,238.2,469,47.907125,160.58,15933.8014
2020/7/14,487.06,178.12,115.57,58.12,53.7,156.3,74.49,20.66,105.52,112.01,133.615279,19.88,232.68,422.1,45.288999,154.51,15868.0172
2020/7/15,500.55,178.86,118.21,58,52.9,148.28,76.59,20.23,105,114.51,126.428124,20.83,239,364.31,45.43445,158,16066.1302
2020/7/16,470.5,163.52,110,52.2,48.8,138.01,74.01,18.71,98,107.19,123.158518,18.75,220,374,43.160814,147.16,14994.2015
2020/7/17,487.15,169.8,108.4,51.52,48.24,149.77,74.95,19,97.4,107.74,124.603923,18.45,219.97,435.5,45.380863,149.8,15231.0606
2020/7/20,475.13,167.28,105.5,50.35,47.27,134.82,73.37,19.17,93.9,105.7,123.896173,18.56,214.65,400.5,44.423945,147.3,15168.3635
2020/7/21,479.26,176.8,108.16,51.61,47.78,139.68,73.61,19.45,96.1,111.25,136.286787,19.47,234.16,391,46.268882,155.1,15704.9635
2020/7/22,487.75,174.7,108.4,54.58,49.15,148.5,73.63,19.29,99.2,112.22,146.534214,19.41,232.2,393.95,47.310009,157.28,15906.0968
2020/7/23,479.9,176,112.3,54.54,48.98,148.01,73.98,19.4,100.18,115.6,158.49619,20.38,234,385.02,47.8,163.86,16312
2020/7/24,447.22,160.85,101.07,49.83,45.17,135.16,69,17.9,93.5,104.99,148.627559,19.23,220,370.36,45.65,156.78,15345.5465
2020/7/27,454.28,156.85,100.59,51.71,45.16,135.5,68.62,17.78,95.22,103.84,161.536526,19.2,217,384.28,44.5,159.2,15591.1344
2020/7/28,460.6,159.35,101.8,52.99,44.72,135.53,70.96,18.26,96.78,104.6,159.991437,18.96,215.14,379.2,44.85,160.89,15618.2429
2020/7/29,503.22,162.53,106.88,53.43,45.65,138.37,73.65,19.33,97.61,109.43,175.990581,20.86,219,387.58,46,166.21,16202.4489
2020/7/30,497.95,162.55,103.32,51.59,44.88,135.5,73.49,19.38,96.01,107.28,181.453217,21.37,217.2,408.53,47.03,165.12,16285.2262
2020/7/31,497,175.71,104.4,51.59,44.5,138.19,73.4,19.86,97.65,107.7,185.410638,21.16,218.35,400,47.22,162.72,16520.7088
2020/8/3,496.02,175.71,107.7,52.55,44.54,139.61,72.38,21.4,98.21,106.52,189.497646,21.53,217.53,403.12,46.88,158.3,16884.8179
2020/8/4,500.06,166.57,109.07,51.76,43.33,141.78,73.33,21.48,97,108.11,170.637596,20.67,219.96,411.77,47.88,156.7,16775.0526
2020/8/5,498.99,164.51,113.5,50.5,43.49,142.88,74.07,22.57,95.98,111.7,176.439155,20.73,218.91,385.57,49.61,158,17027.5484
2020/8/6,491.54,161.07,111.4,49.06,42.85,142.87,74.54,21.9,94.88,112.46,163.330822,20.31,217.1,354,54.57,157.8,16634.78
2020/8/7,484.19,161.98,108.68,48.4,41.77,140.69,72.85,22.19,92.86,107.68,160.539694,19.11,217.02,325.56,56.86,156.01,16393.2749
2020/8/10,488.5,158.15,112.72,49.1,43.67,144.34,73.08,20.77,94.58,105.55,159.672451,19.2,235.82,310.22,57.35,158.4,16390.9915
2020/8/11,486.67,156.64,113.28,52.9,42.73,140.52,72.17,20.52,93.68,103,157.299992,18.51,231.09,309.56,55.55,154.9,16133.8268
2020/8/12,475.89,148.85,106.6,50.86,41.39,133.75,70,19.85,90.21,101.01,145.74,17.78,229.96,294.98,54.56,148.7,15643.2767
2020/8/13,450.55,149.5,103.31,54.86,40.7,130.55,68.93,19.52,89.31,100.5,142,17.47,228.66,299.89,53.56,144.77,15399.4849
2020/8/14,452.51,145.45,102.71,53.62,40.94,131.2,69.34,19.4,89.78,100.48,145,17.39,227.92,313.5,53.3,146.37,15526.6656
2020/8/17,456.98,153.8,108.19,54.23,41.44,130.37,68.78,19.99,89.35,100.78,146.68,17.6,228.7,313.26,52.66,150.3,15706.8804
2020/8/18,467.4,154.61,114.38,56,41.93,132,69.22,20.44,90.18,102.58,149.87,17.77,239.54,329,52.27,153.53,15921.2314
2020/8/19,448.7,149.53,116.9,53.7,40.87,126.34,67.08,19.79,88.11,99.31,135.6,17.09,234.25,324.7,51.1,151.97,15452.3204
